date,lat,lon,accumswe_daily
1980-06-17T12:00:00Z,44.59644457,-110.5471962,0
1980-06-18T12:00:00Z,44.59644457,-110.5471962,0
1980-06-19T12:00:00Z,44.59644457,-110.5471962,0
1980-06-20T12:00:00Z,44.59644457,-110.5471962,0
1980-06-21T12:00:00Z,44.59644457,-110.5471962,0
1980-06-22T12:00:00Z,44.59644457,-110.5471962,0
1980-06-23T12:00:00Z,44.59644457,-110.5471962,0
1980-06-24T12:00:00Z,44.59644457,-110.5471962,0
1980-06-25T12:00:00Z,44.59644457,-110.5471962,0
1980-06-26T12:00:00Z,44.59644457,-110.5471962,0
1980-06-27T12:00:00Z,44.59644457,-110.5471962,0
1980-06-28T12:00:00Z,44.59644457,-110.5471962,0
1980-06-29T12:00:00Z,44.59644457,-110.5471962,0
1980-06-30T12:00:00Z,44.59644457,-110.5471962,0
1980-07-01T12:00:00Z,44.59644457,-110.5471962,0
1980-07-02T12:00:00Z,44.59644457,-110.5471962,0
1980-07-03T12:00:00Z,44.59644457,-110.5471962,0
1980-07-04T12:00:00Z,44.59644457,-110.5471962,0
1980-07-05T12:00:00Z,44.59644457,-110.5471962,0
1980-07-06T12:00:00Z,44.59644457,-110.5471962,0
1980-07-07T12:00:00Z,44.59644457,-110.5471962,0
1980-07-08T12:00:00Z,44.59644457,-110.5471962,0
1980-07-09T12:00:00Z,44.59644457,-110.5471962,0
1980-07-10T12:00:00Z,44.59644457,-110.5471962,0
1980-07-11T12:00:00Z,44.59644457,-110.5471962,0
1980-07-12T12:00:00Z,44.59644457,-110.5471962,0
1980-07-13T12:00:00Z,44.59644457,-110.5471962,0
1980-07-14T12:00:00Z,44.59644457,-110.5471962,0
1980-07-15T12:00:00Z,44.59644457,-110.5471962,0
1980-07-16T12:00:00Z,44.59644457,-110.5471962,0
1980-07-17T12:00:00Z,44.59644457,-110.5471962,0
1980-07-18T12:00:00Z,44.59644457,-110.5471962,0
1980-07-19T12:00:00Z,44.59644457,-110.5471962,0
1980-07-20T12:00:00Z,44.59644457,-110.5471962,0
1980-07-21T12:00:00Z,44.59644457,-110.5471962,0
1980-07-22T12:00:00Z,44.59644457,-110.5471962,0
1980-07-23T12:00:00Z,44.59644457,-110.5471962,0
1980-07-24T12:00:00Z,44.59644457,-110.5471962,0
1980-07-25T12:00:00Z,44.59644457,-110.5471962,0
1980-07-26T12:00:00Z,44.59644457,-110.5471962,0
1980-07-27T12:00:00Z,44.59644457,-110.5471962,0
1980-07-28T12:00:00Z,44.59644457,-110.5471962,0
1980-07-29T12:00:00Z,44.59644457,-110.5471962,0
1980-07-30T12:00:00Z,44.59644457,-110.5471962,0
1980-07-31T12:00:00Z,44.59644457,-110.5471962,0
1980-08-01T12:00:00Z,44.59644457,-110.5471962,0
1980-08-02T12:00:00Z,44.59644457,-110.5471962,0
1980-08-03T12:00:00Z,44.59644457,-110.5471962,0
1980-08-04T12:00:00Z,44.59644457,-110.5471962,0
1980-08-05T12:00:00Z,44.59644457,-110.5471962,0
1980-08-06T12:00:00Z,44.59644457,-110.5471962,0
1980-08-07T12:00:00Z,44.59644457,-110.5471962,0
1980-08-08T12:00:00Z,44.59644457,-110.5471962,0
1980-08-09T12:00:00Z,44.59644457,-110.5471962,0
1980-08-10T12:00:00Z,44.59644457,-110.5471962,0
1980-08-11T12:00:00Z,44.59644457,-110.5471962,0
1980-08-12T12:00:00Z,44.59644457,-110.5471962,0
1980-08-13T12:00:00Z,44.59644457,-110.5471962,0
1980-08-14T12:00:00Z,44.59644457,-110.5471962,0
1980-08-15T12:00:00Z,44.59644457,-110.5471962,0
1980-08-16T12:00:00Z,44.59644457,-110.5471962,0
1980-08-17T12:00:00Z,44.59644457,-110.5471962,0
1980-08-18T12:00:00Z,44.59644457,-110.5471962,0
1980-08-19T12:00:00Z,44.59644457,-110.5471962,0
1980-08-20T12:00:00Z,44.59644457,-110.5471962,0
1980-08-21T12:00:00Z,44.59644457,-110.5471962,0
1980-08-22T12:00:00Z,44.59644457,-110.5471962,0
1980-08-23T12:00:00Z,44.59644457,-110.5471962,0
1980-08-24T12:00:00Z,44.59644457,-110.5471962,0
1980-08-25T12:00:00Z,44.59644457,-110.5471962,0
1980-08-26T12:00:00Z,44.59644457,-110.5471962,0
1980-08-27T12:00:00Z,44.59644457,-110.5471962,0
