year,month,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1990,12,31.942809,-113.020708,26.415508270263672,12.062100410461426,41.2859992980957,0,39.98676300048828,32.88571548461914,7.101038932800293
1991,1,31.942809,-113.020708,34.9599723815918,11.54210090637207,13.761999130249023,0,45.5908088684082,36.60082244873047,8.989982604980469
1991,2,31.942809,-113.020708,24.56171989440918,0,0.9829999804496765,0,62.531551361083984,49.84144973754883,12.690098762512207
1991,3,31.942809,-113.020708,25.108657836914063,11.348301887512207,44.2349967956543,0,77.763824462890625,62.32299041748047,15.440849304199219
1991,4,31.942809,-113.020708,26.456504821777344,0,0,0,112.29115295410156,92.6644515991211,19.626707077026367
1991,5,31.942809,-113.020708,9.52245807647705,0,0,0,145.22927856445312,133.06744384765625,12.161832809448242
1991,6,31.942809,-113.020708,2.508115291595459,0,0,0,166.43080139160156,162.80101013183594,3.629789352416992
1991,7,31.942809,-113.020708,2.6351075172424316,0,9.829999923706055,0,190.8515167236328,186.42982482910156,4.42171049118042
1991,8,31.942809,-113.020708,5.7939534187316895,0,12.778999328613281,0,178.90621948242187,169.07492065429687,9.831318855285645
1991,9,31.942809,-113.020708,17.351482391357422,0,21.625999450683594,0,138.68978881835937,116.30614471435547,22.383630752563477
1991,10,31.942809,-113.020708,5.036126136779785,0,0,0,103.61983489990234,98.02318572998047,5.596642017364502
1991,11,31.942809,-113.020708,4.114413261413574,0,7.863999843597412,0,57.847389221191406,55.41199493408203,2.4353981018066406
1991,12,31.942809,-113.020708,15.410409927368164,0,19.65999984741211,0,43.01014709472656,36.54811477661133,6.462039947509766
1992,1,31.942809,-113.020708,35.278053283691406,5.69991397857666,27.523998260498047,0,46.31377410888672,37.16685485839844,9.146924018859863
1992,2,31.942809,-113.020708,35.88431167602539,48.71732711791992,58.97999954223633,0,61.95329666137695,49.38817596435547,12.565115928649902
1992,3,31.942809,-113.020708,34.46156692504883,40.027618408203125,61.92900085449219,0,86.87847137451172,69.0475845336914,17.83087158203125
