date,lat,lon,soil_water_daily,runoff_daily,rain_daily,agdd_daily,accumswe_daily,pet_daily,deficit_daily,aet_daily
1980-05-25T12:00:00Z,44.702,-110.018,89.04999542236328,20.119661331176758,12.539999961853027,2.75,3.4458584785461426,0,0,0
1980-05-26T12:00:00Z,44.702,-110.018,89.04999542236328,0,0,2.75,9.297859191894531,0,0,0
1980-05-27T12:00:00Z,44.702,-110.018,89.04999542236328,0,0,2.75,11.805858612060547,0,0,0
1980-05-28T12:00:00Z,44.702,-110.018,89.04999542236328,6.370314598083496,0,2.75,5.435544013977051,0,0,0
1980-05-29T12:00:00Z,44.702,-110.018,89.04999542236328,10.577901840209961,7.52400016784668,2.75,2.3816421031951904,0,0,0
1980-05-30T12:00:00Z,44.702,-110.018,89.04999542236328,0,0,2.75,9.90564250946045,0,0,0
1980-05-31T12:00:00Z,44.702,-110.018,89.04999542236328,11.659679412841797,5.8520002365112305,2.75,4.097962856292725,0,0,0
1980-06-01T12:00:00Z,44.702,-110.018,89.04999542236328,2.866701364517212,2.866701364517212,2.75,6.247262001037598,0,0,0
1980-06-02T12:00:00Z,44.702,-110.018,89.04999542236328,0,8.881784197001252e-16,2.75,9.591261863708496,0,0,0
1980-06-03T12:00:00Z,44.702,-110.018,89.04999542236328,10.991254806518555,2.508000135421753,2.75,1.108007788658142,0,0,0
1980-06-04T12:00:00Z,44.702,-110.018,89.04999542236328,2.4162161350250244,2.4162161350250244,2.75,2.0357916355133057,0,0,0
1980-06-05T12:00:00Z,44.702,-110.018,89.04999542236328,3.483612060546875,3.3440001010894775,2.75,1.8961796760559082,0,0,0
1980-06-06T12:00:00Z,44.702,-110.018,89.04999542236328,4.486746311187744,4.486746311187744,2.75,2.42543363571167,0,0,0
1980-06-07T12:00:00Z,44.702,-110.018,89.04999542236328,0,0,2.75,2.42543363571167,0,0,0
1980-06-08T12:00:00Z,44.702,-110.018,89.02588653564453,2.42543363571167,0,2.75,0,1.1250731945037842,1.1009644269943237,0.024108709767460823
1980-06-09T12:00:00Z,44.702,-110.018,88.98314666748047,0,0,2.75,0,1.4078173637390137,1.3650799989700317,0.04273730888962746
1980-06-10T12:00:00Z,44.702,-110.018,88.90880584716797,0,0,2.75,0,1.8922898769378662,1.817949891090393,0.07433995604515076
1980-06-11T12:00:00Z,44.702,-110.018,88.7650375366211,0,0,6.25,0,2.981874465942383,2.8381054401397705,0.14376892149448395
1980-06-12T12:00:00Z,44.702,-110.018,88.90021514892578,6.403045177459717,6.688000202178955,7.5,0,2.621168851852417,2.4713878631591797,0.14978106319904327
1980-06-13T12:00:00Z,44.702,-110.018,88.7562484741211,0,0,7.5,0,2.178992509841919,2.0350234508514404,0.14396913349628448
1980-06-14T12:00:00Z,44.702,-110.018,88.87739562988281,12.24625015258789,12.539999961853027,7.5,0,2.3013014793395996,2.1287038326263428,0.17259760200977325
1980-06-15T12:00:00Z,44.702,-110.018,89.04999542236328,7.635313987731934,7.807911396026611,7.5,0.5520890951156616,0,0,0
1980-06-16T12:00:00Z,44.702,-110.018,88.94090270996094,0.5520890951156616,0,7.5,0,1.0909507274627686,0.9818556308746338,0.10909506678581238
1980-06-17T12:00:00Z,44.702,-110.018,88.763580322265625,0,0,7.5,0,1.5762025117874146,1.3988797664642334,0.17732277512550354
